,0
0,-93.67604773738549
1,27.032803593440562
2,76.74811136010851
3,-2904.706441506848
4,-556.636328385508
5,1714.2987839365078
6,3509.6066774308892
7,3702.3066893141663
8,3404.188484788623
9,-8979.982809312198
10,-1828.086442023059
11,5990.575988696355
12,10528.690750993766
13,9872.493070406937
14,9570.569199515212
15,8788.021392604123
16,7869.038269870428
17,-1532.3400629732128
18,7065.954716825736
19,6061.983189977559
20,2468.4351525824277
21,2187.9786889493007
22,-2540.5837111563415
23,-577.6435973901969
24,-547.4807980816566
25,-84.7257770673541
26,3290.548480049487
27,190.96830614933083
28,1346.12732596678
29,-228.0921116085981
30,1674.0452685946873
31,721.1130203886487
32,-757.4069909812874
33,-712.6427685620116
34,4844.202171967872
35,-1273.1477118413657
36,-893.3981098557965
37,2611.0199977617767
38,-3137.224038995312
39,-694.6912054444717
40,-2206.102885822786
41,1412.3804252927262
42,-781.0485225923989
43,-501.94614199553257
44,-486.87882596087644
45,-1219.5304628259373
46,-642.4812308814343
47,-1446.2753519771738
48,-2058.1998195237647
49,-2104.7202113170088
50,895.6009191918229
