"blk","A","B","C","D","E","F","G","H","y"
-1,-1,-1,-1,1,1,1,-1,1,14
-1,1,-1,-1,-1,-1,1,1,1,16.8
-1,-1,1,-1,-1,1,-1,1,1,15
-1,1,1,-1,1,-1,-1,-1,1,15.4
-1,-1,-1,1,1,-1,-1,1,1,27.6
-1,1,-1,1,-1,1,-1,-1,1,24
-1,-1,1,1,-1,-1,1,-1,1,27.4
-1,1,1,1,1,1,1,1,1,22.6
-1,1,1,1,-1,-1,-1,1,-1,22.3
-1,-1,1,1,1,1,-1,-1,-1,17.1
-1,1,-1,1,1,-1,1,-1,-1,21.5
-1,-1,-1,1,-1,1,1,1,-1,17.5
-1,1,1,-1,-1,1,1,-1,-1,15.9
-1,-1,1,-1,1,-1,1,1,-1,21.9
-1,1,-1,-1,1,1,-1,1,-1,16.7
-1,-1,-1,-1,-1,-1,-1,-1,-1,20.3
1,-1,1,1,1,-1,-1,-1,1,29.4
1,-1,1,-1,-1,-1,1,1,1,19.7
1,1,1,-1,-1,1,-1,-1,1,13.6
1,1,1,1,1,1,1,1,1,24.7
