"","V1","V2","V3","V4","V5"
"M1",0,0,0,0,0
"M2",2,0,0,0,0
"M3",4,0,0,0,0
"M4",1,0,0,0,0
"M5",1,2,0,0,0
"M6",1,4,0,0,0
"M7",2,4,0,0,0
"M8",5,0,0,0,0
"M9",3,0,0,0,0
"M10",2,3,0,0,0
"M11",2,5,0,0,0
"M12",1,2,4,0,0
"M13",4,5,0,0,0
"M14",3,4,0,0,0
"M15",1,3,0,0,0
"M16",1,5,0,0,0
"M17",3,5,0,0,0
"M18",1,2,3,0,0
"M19",1,3,4,0,0
"M20",2,3,4,0,0
"M21",1,2,5,0,0
"M22",2,3,5,0,0
"M23",1,4,5,0,0
"M24",2,4,5,0,0
"M25",3,4,5,0,0
"M26",1,2,3,4,0
"M27",1,2,4,5,0
"M28",1,3,4,5,0
"M29",2,3,4,5,0
"M30",1,3,5,0,0
"M31",1,2,3,5,0
"M32",1,2,3,4,5
