"","Grado","Tiempo_ 1","Tiempo_ 2","Tiempo_ 3","Tiempo_ 4","Tiempo_ 5","Promedio"
"1",1,0.00137114524841309,0.00116395950317383,0.00107383728027344,0.00130486488342285,0.00164794921875,0.00131235122680664
"2",2,0.00204205513000488,0.00159311294555664,0.00170779228210449,0.00168108940124512,0.00160789489746094,0.00172638893127441
"3",3,0.00228404998779297,0.00215411186218262,0.00274085998535156,0.00181412696838379,0.00174593925476074,0.00214781761169434
"4",4,0.00208592414855957,0.00202202796936035,0.00289106369018555,0.00308895111083984,0.00332021713256836,0.00268163681030273
"5",5,0.00371503829956055,0.00351691246032715,0.00247597694396973,0.00217795372009277,0.00217700004577637,0.00281257629394531
"6",6,0.00271296501159668,0.00269103050231934,0.00299906730651855,0.00269198417663574,0.00253891944885254,0.00272679328918457
"7",7,0.00258398056030273,0.00273394584655762,0.00350213050842285,0.002716064453125,0.00275492668151855,0.00285820960998535
"8",8,0.00301194190979004,0.018449068069458,0.0070950984954834,0.0036160945892334,0.00588393211364746,0.00761122703552246
"9",9,0.00333905220031738,0.00400590896606445,0.00835013389587402,0.0042729377746582,0.00412201881408691,0.0048180103302002
"10",10,0.00477194786071777,0.00336098670959473,0.00568914413452148,0.00382399559020996,0.00420999526977539,0.00437121391296387
